Date,Company,Ticker,Operation,Qty,Price,Total
08/07/25,Bank,,Depot,0,0,12000
15/07/25,Bank,,Depot,0,0,21965.33
16/07/25,TOTALENERGIES MARK,TMA,Achat,3,1670,-5059.6
18/07/25,VICENNE,VCN,Achat,23,236,-5481.74
24/07/25,TGCC SA,TGC,Achat,1,999.5,-1011.6
28/07/25,VICENNE,VCN,Vente,-23,387,8313.38
29/07/25,TGCC SA,TGC,Achat,1,978,-990.08
31/07/25,DELTA HOLDING,DHO,Achat,27,80.5,-2195.02
31/07/25,SODEP MARSA MAROC,MSA,Achat,20,878,-17733.84
01/08/25,TGCC SA,TGC,Achat,13,725,-9518.31
04/08/25,DELTA HOLDING,DHO,Achat,65,80.5,-5284.3
04/08/25,TOTALENERGIES MARK,TMA,Vente,-3,1739,5150.35
05/08/25,Bank,,Depot,0,0,2000
13/08/25,TGCC SA,TGC,Dividende,0,0,172.5
15/08/25,DELTA HOLDING,DHO,Achat,24,87,-2108.67
22/08/25,ENNAKL,NKL,Achat,4,37.96,-163.01
10/09/25,Bank,,Depot,0,0,3000
11/09/25,DELTA HOLDING,DHO,Vente,-116,87.9,10020.45
11/09/25,SODEP MARSA MAROC,MSA,Achat,9,996.2,-9054.56
12/09/25,ENNAKL,NKL,Vente,-22,53.81,1159.52
12/09/25,ENNAKL,NKL,Achat,18,50.45,-920.1
12/09/25,SODEP MARSA MAROC,MSA,Achat,1,969,-981.07
17/09/25,VICENNE,VCN,Achat,7,450,-3181.19
22/09/25,ATTIJARIWAFA BANK,ATW,Achat,15,773,-11709.79
22/09/25,SODEP MARSA MAROC,MSA,Vente,-15,970,14327.96
22/09/25,VICENNE,VCN,Achat,5,447,-2257.13
25/09/25,HIGHTECH PAYMENT S,HPS,Achat,24,588.9,-14273.52
25/09/25,TGCC SA,TGC,Vente,-15,963,13884.99
29/09/25,HIGHTECH PAYMENT S,HPS,Vente,-24,508.7,12087.93
30/09/25,AKDITAL,AKT,Achat,7,1495,-10568.6
30/09/25,VICENNE,VCN,Achat,3,443,-1342.16
01/10/25,Bank,,Depot,0,0,11000
02/10/25,Tax Authority,,Taxe,0,0,324.76
03/10/25,AKDITAL,AKT,Achat,9,1379,-12533.87
03/10/25,SODEP MARSA MAROC,MSA,Vente,-15,935,13886.15
06/10/25,VICENNE,VCN,Achat,3,433,-1311.86
07/10/25,AKDITAL,AKT,Achat,1,1220,-1232.34
07/10/25,AKDITAL,AKT,Achat,3,1220,-3696.23
07/10/25,ATTIJARIWAFA BANK,ATW,Achat,5,706.1,-3565.45
07/10/25,RISMA,RIS,Achat,5,351.3,-1773.89
07/10/25,VICENNE,VCN,Achat,2,411,-833.9
09/10/25,RISMA,RIS,Vente,-5,410,1992.21
13/10/25,TGCC SA,TGC,Achat,1,913,-925
13/10/25,TGCC SA,TGC,Achat,11,913,-10142.43
13/10/25,VICENNE,VCN,Vente,-20,475,9335.45
24/10/25,DELTA HOLDING,DHO,Achat,28,77,-2177.34
24/10/25,DELTA HOLDING,DHO,Achat,118,77,-9175.95
24/10/25,TGCC SA,TGC,Vente,-10,924,9148.52
24/10/25,TGCC SA,TGC,Vente,-2,924,1829.7
27/10/25,DELTA HOLDING,DHO,Vente,-146,80,11532.86
27/10/25,ENNAKL,NKL,Achat,55,62,-3443.76
27/10/25,ENNAKL,NKL,Achat,131,62,-8202.41
28/10/25,ATTIJARIWAFA BANK,ATW,Vente,-15,775,11502.41
28/10/25,ATTIJARIWAFA BANK,ATW,Vente,-5,775,3835.14
28/10/25,ENNAKL,NKL,Vente,-156,64.4,9921.43
28/10/25,ENNAKL,NKL,Vente,-30,64.4,1908.37
28/10/25,FENIE BROSSETTE,FBR,Achat,25,472,-11916.82
28/10/25,STROC INDUSTRIE,STR,Achat,11,303.05,-3366.55
28/10/25,STROC INDUSTRIE,STR,Achat,36,308,-11197.77
30/10/25,BANK OF AFRICA,BOA,Achat,10,246.6,-2490.41
30/10/25,BANK OF AFRICA,BOA,Achat,51,246.6,-12701.11
30/10/25,STROC INDUSTRIE,STR,Vente,-47,317.5,14743.27
03/11/25,AKDITAL,AKT,Achat,8,1428,-11537.1
03/11/25,FENIE BROSSETTE,FBR,Vente,-25,463.9,11482.68
05/11/25,ATTIJARIWAFA BANK,ATW,Achat,3,777.3,-2354.99
05/11/25,ATTIJARIWAFA BANK,ATW,Achat,6,777.3,-4709.97
05/11/25,BANK OF AFRICA,BOA,Vente,-31,242.7,7449.21
07/11/25,Tax Authority,,Taxe,0,0,112.86
10/11/25,BANK OF AFRICA,BOA,Vente,-24,241,5726.74
10/11/25,BANK OF AFRICA,BOA,Vente,-3,241,711.2
10/11/25,BANK OF AFRICA,BOA,Vente,-2,241,470.47
10/11/25,BANK OF AFRICA,BOA,Vente,-1,241,229.73
10/11/25,VICENNE,VCN,Achat,15,516.4,-7822.68
03/12/25,Bank,,Depot,0,0,5372.67
03/12/25,Bank,,Depot,0,0,5372.67
03/12/25,Bank,,Depot,0,0,5372.67
19/12/25,SGTM S.A,GTM,Achat,14,380,-5372.67
19/12/25,SGTM S.A,GTM,Achat,14,380,-5372.67
19/12/25,SGTM S.A,GTM,Achat,14,380,-5372.67
30/12/25,ATTIJARIWAFA BANK,ATW,Vente,-9,754,6718.82
30/12/25,VICENNE,VCN,Achat,1,458,-469.5
30/12/25,VICENNE,VCN,Achat,14,458,-6475.48
05/01/26,AKDITAL,AKT,Achat,1,1138,-1150.25
05/01/26,ENNAKL,NKL,Achat,41,51.1,-2115.84
05/01/26,ENNAKL,NKL,Achat,59,51.1,-3044.74
05/01/26,SGTM S.A,GTM,Vente,-7,802,5127.92
05/01/26,SGTM S.A,GTM,Vente,-3,821,2246.62
05/01/26,VICENNE,VCN,Achat,3,451,-1366.39
07/01/26,Tax Authority,,Taxe,0,0,100.47
08/01/26,ENNAKL,NKL,Vente,-110,55.88,6057.44
08/01/26,ENNAKL,NKL,Vente,-100,55.88,5505.67
08/01/26,ENNAKL,NKL,Vente,-73,53.8,3870.52
08/01/26,ENNAKL,NKL,Vente,-43,55.88,2368.55
08/01/26,ENNAKL,NKL,Vente,-16,54.49,855.38
08/01/26,ENNAKL,NKL,Vente,-11,53.8,578.65
08/01/26,ENNAKL,NKL,Achat,253,53,-13541.75
08/01/26,SGTM S.A,GTM,Vente,-32,944,27265.94
08/01/26,STOKVIS NORD AFRIQ,SNA,Achat,5,108.5,-554.1
08/01/26,STOKVIS NORD AFRIQ,SNA,Achat,19,108.5,-2081.91
08/01/26,STOKVIS NORD AFRIQ,SNA,Achat,166,108.5,-18189.3
09/01/26,ENNAKL,NKL,Achat,200,55.75,-11260.38
09/01/26,STOKVIS NORD AFRIQ,SNA,Vente,-72,112,7970.67
09/01/26,STOKVIS NORD AFRIQ,SNA,Vente,-12,112,1329.19
09/01/26,STOKVIS NORD AFRIQ,SNA,Vente,-10,112,1106.27
09/01/26,STOKVIS NORD AFRIQ,SNA,Vente,-1,112,100.88
12/01/26,STOKVIS NORD AFRIQ,SNA,Achat,55,105.6,-5865.5
13/01/26,AKDITAL,AKT,Achat,1,1262,-1274.49
13/01/26,STOKVIS NORD AFRIQ,SNA,Achat,35,101.95,-3603.58
16/01/26,STOKVIS NORD AFRIQ,SNA,Vente,-47,102.95,4790.74
16/01/26,STOKVIS NORD AFRIQ,SNA,Vente,-8,102.95,811.69
19/01/26,DISTY TECHNOLOGIES,DYT,Achat,14,340,-4807.12
19/01/26,ENNAKL,NKL,Achat,23,52.5,-1219.83
23/01/26,Bank,,Frais,0,0,-55
23/01/26,Bank,,Frais,0,0,-55
